student_id,age,education_level,career_goal,experience_level,study_hours_per_week,learning_style,interest_ai,interest_data_science,interest_web_dev,interest_backend,interest_frontend,interest_mobile,interest_cloud,interest_cybersecurity,python_score,cpp_score,java_score,javascript_score,html_score,css_score,sql_score,database_score,statistics_score,probability_score,linear_algebra_score,calculus_score,machine_learning_score,deep_learning_score,git_score,linux_score,docker_score,cloud_score,sessions_completed,avg_session_duration,projects_completed,quiz_attempts,quiz_avg_score,consistency_score,streak_days,target_completion_months,available_hours_weekly,recommended_next_topic,recommended_difficulty,learning_path_stage
STU02677,27,Bachelor,ML Engineer,Intermediate,10.24,Auditory,75.06,47.69,68.44,72.28,22.68,26.85,48.01,8.59,55.21,36.3,22.94,3.48,28.72,20.11,50.98,22.74,61.0,51.6,31.74,63.31,72.76,72.91,51.11,41.73,16.9,15.469928185847367,84,12.23,2,10,73.03,55.12,5.0,9,15.4,Deep Learning,Medium,5
STU02678,28,Bachelor,Full Stack Developer,Intermediate,8.46,Auditory,49.5,32.22,61.94,56.25,44.22,9.17,41.04,48.11,54.22,6.78,45.91,38.87,0.0,62.97,43.02,18.58,43.22,0.0,33.21,17.91,42.65,34.15,51.73,41.94,21.48,39.054593133049934,22,42.91,3,12,62.84,35.55,7.0,18,13.9,SQL,Medium,1
STU02679,30,Bachelor,Full Stack Developer,Intermediate,20.53,Auditory,49.49,51.72,80.47,89.56,37.13,69.28,64.22,45.03,28.45,3.99,22.89,73.76,54.58,15.87,84.87,96.0,10.65,45.14,32.55,34.63,44.17,15.0,47.09,79.86,29.18,19.31878329140661,18,37.39,1,12,57.93,43.06,12.0,6,13.4,Data Visualization,Easy,5
STU02680,24,Bachelor,Data Scientist,Beginner,19.87,Auditory,86.7,53.43,21.56,3.75,62.53,32.73,33.55,26.91,51.12,33.77,1.57,25.53,14.97,36.66,23.01,35.59,42.85,22.04,62.56,29.77,33.75,32.05,38.74,32.5,14.7,18.163370305347815,13,55.55,2,8,71.66,61.13,6.0,12,11.5,Git,Easy,1
STU02681,31,High School,Full Stack Developer,Advanced,28.93,Visual,76.58,87.58,53.99,71.65,38.8,19.08,79.25,25.0,0.0,31.46,18.74,49.51,34.65,33.5,78.74,58.87,43.03,51.43,0.0,32.41,46.29,72.92,43.58,83.04,30.75,47.95432334071733,23,53.09,4,5,56.795,9.74,5.0,18,12.6,System Design,Hard,2
STU02682,24,Bachelor,AI Engineer,Beginner,12.58,Kinesthetic,60.58,87.39,22.32,65.27,43.37,45.09,36.59,20.9,41.86,11.97,27.1,8.67,32.8,4.79,33.45,19.23,69.72,43.91,37.17,57.35,61.8,53.15,19.94,0.69,0.06,22.247738035995763,10,24.93,7,11,81.93,51.81,11.0,3,40.0,Git,Easy,1
STU02683,21,Bachelor,Software Engineer,Beginner,19.31,Visual,48.29,50.47,72.94,52.97,44.06,47.83,43.67,54.8,34.74,52.34,33.08,28.45,42.48,15.83,16.23,35.93,20.62,10.77,18.38,8.12,0.0,6.32,55.21,6.43,0.0,18.225949707235003,11,48.07,4,4,38.06,67.7,2.0,12,27.8,Python,Easy,1
STU02684,30,Bachelor,Frontend Developer,Intermediate,6.11,Visual,82.13,56.23,67.28,55.3,58.95,31.65,32.62,10.66,33.71,37.31,31.71,77.36,38.48,82.81,53.06,32.22,31.4,27.61,17.76,35.11,0.0,16.93,50.1,18.58,0.0,24.608989853257384,4,73.08,1,7,42.51,50.39,4.0,12,21.3,Next.js,Medium,3
STU02685,34,Bachelor,Data Scientist,Intermediate,18.72,Visual,50.9,80.11,29.67,25.62,18.26,10.32,26.43,47.65,81.22,46.13,35.11,37.97,53.01,52.55,40.22,54.03,78.27,66.44,26.28,42.53,93.75,55.82,53.34,55.0,3.8,41.03350059472836,31,31.34,2,2,67.83,91.87,4.0,6,7.7,Deep Learning,Hard,1
STU02686,20,Bachelor,Backend Developer,Intermediate,19.27,Visual,63.02,31.21,56.29,61.11,56.45,27.03,28.05,31.77,13.88,18.15,32.16,55.96,33.14,6.42,58.61,41.55,15.65,20.82,3.53,19.06,9.89,0.0,55.28,27.13,45.3,45.30886413403439,33,14.65,7,5,33.16,46.23,9.0,6,14.3,SQL,Medium,2
STU02687,21,Bachelor,Software Engineer,Beginner,7.56,Reading/Writing,6.38,61.24,33.5,58.77,33.83,50.55,56.98,11.61,49.16,27.06,42.14,20.99,51.11,35.36,16.36,27.87,8.9,51.7,28.08,8.78,13.68,1.39,24.6,30.03,2.62,30.86918386555891,10,42.9,4,2,42.87,32.29,2.0,3,17.4,Git,Easy,1
STU02688,19,High School,Backend Developer,Beginner,17.45,Auditory,46.37,59.27,100.0,83.14,49.68,60.46,64.19,52.84,22.42,9.82,40.56,25.06,23.62,34.49,78.34,47.75,31.66,41.47,25.08,20.34,19.2,0.0,44.96,49.89,11.07,20.46635093045699,8,80.46,0,3,40.91,42.81,3.0,12,11.6,Node.js,Easy,2
STU02689,25,Associate,Data Scientist,Intermediate,14.06,Visual,60.31,63.9,56.24,67.77,50.66,89.02,9.58,30.91,60.48,26.15,32.06,31.12,53.32,54.57,61.85,23.15,58.09,97.01,56.83,74.47,54.79,36.89,16.45,34.93,15.44,27.43269099793306,92,57.23,6,5,34.64,42.08,7.0,9,8.4,Pandas,Easy,2
STU02690,17,High School,ML Engineer,Beginner,16.03,Reading/Writing,100.0,86.5,25.0,50.82,73.37,6.18,32.85,20.88,50.68,35.01,8.15,16.21,8.81,11.11,48.74,19.73,40.2,60.74,33.71,55.13,46.06,34.49,35.72,23.61,0.0,13.940204709568633,9,25.9,2,6,84.44,52.79,10.0,12,3.6,Git,Easy,2
STU02691,17,High School,Cloud Engineer,Beginner,21.47,Auditory,34.0,47.59,38.59,61.09,61.17,40.68,63.04,13.45,22.71,26.85,25.6,21.25,28.39,29.96,45.89,19.15,28.0,15.06,33.42,15.96,1.42,16.38,40.49,58.06,45.98,33.36228052507603,78,18.42,2,11,57.53,72.2,7.0,12,11.2,Linux,Easy,1
STU02692,18,Master,Data Scientist,Beginner,13.51,Reading/Writing,59.19,84.61,50.55,71.03,44.17,29.89,45.9,46.56,54.77,26.62,0.0,24.06,38.12,47.28,24.42,9.22,42.26,29.91,41.36,46.76,18.87,47.95,30.43,20.83,13.42,36.88505464882095,6,72.95,4,6,56.21,41.17,7.0,6,8.8,RAG,Easy,2
STU02693,33,High School,AI Engineer,Advanced,24.38,Visual,60.55,96.38,54.31,62.8,53.91,41.39,26.75,8.05,80.23,63.98,39.96,50.33,15.3,45.61,14.1,52.98,67.01,78.61,77.77,36.73,74.31,38.75,27.45,52.92,24.37,33.63292270162654,72,54.61,1,13,79.96,64.59,10.0,6,20.0,Deep Learning,Hard,3
STU02694,34,Bachelor,Cybersecurity Engineer,Intermediate,6.23,Kinesthetic,45.45,51.66,47.62,40.7,25.95,10.66,61.35,51.79,56.35,3.95,13.51,29.96,20.02,30.04,39.81,6.83,48.57,19.66,14.61,23.75,10.4,0.0,59.22,43.24,14.57,46.05581744903395,10,60.53,1,6,37.79,42.81,11.0,12,5.6,Linux,Hard,1
STU02695,17,Bachelor,AI Engineer,Beginner,7.24,Visual,73.26,100.0,28.68,50.5,45.39,48.8,36.7,41.17,60.51,21.6,39.33,4.21,40.25,32.84,54.7,27.34,82.39,43.79,27.22,49.6,74.5,18.7,29.95,17.99,44.42,4.341502943143607,14,35.87,2,14,66.34,72.58,0.0,9,13.5,Deep Learning,Easy,2
STU02696,34,Master,Software Engineer,Advanced,11.04,Visual,44.33,44.48,57.98,60.8,29.38,35.42,70.9,44.34,68.87,8.93,31.37,50.68,13.62,37.05,44.43,57.35,51.51,50.21,40.07,53.44,69.71,63.9,63.09,24.5,41.63,34.444672159803964,8,17.35,4,0,82.58,37.97,4.0,1,33.5,Data Visualization,Hard,4
STU02697,25,High School,Full Stack Developer,Beginner,7.66,Auditory,60.08,33.21,73.27,82.49,65.92,48.39,10.12,42.55,41.07,13.37,15.41,20.91,26.45,24.04,20.28,46.74,7.76,16.98,36.93,0.0,23.76,19.42,43.56,26.23,49.34,16.247883089097055,5,27.4,21,11,56.795,51.72,13.0,18,14.7,SQL,Easy,2
STU02698,31,Master,Software Engineer,Intermediate,14.21,Auditory,35.23,56.12,55.74,41.13,34.7,0.0,50.78,43.0,34.79,59.6,25.14,11.91,32.12,14.01,25.64,37.44,5.0,28.74,31.54,7.87,45.08,10.3,73.85,29.51,21.88,39.68495341224971,33,30.69,6,4,57.21,39.67,1.0,18,6.6,Python,Easy,5
STU02699,25,High School,Unknown,Intermediate,9.94,Kinesthetic,84.01,56.95,8.59,42.53,54.65,50.8,66.71,37.12,75.33,16.09,13.56,24.18,42.61,34.18,56.74,37.84,66.76,27.7,48.03,55.65,59.13,36.9,26.55,15.81,7.31,35.23059706991373,10,72.68,0,9,54.73,62.39,6.0,12,10.1,Statistics,Hard,1
STU02700,17,Bachelor,AI Engineer,Beginner,10.17,Auditory,70.73,84.25,51.38,25.77,39.19,10.04,29.52,23.13,70.44,36.51,24.71,29.64,39.39,11.91,46.02,44.28,68.85,62.34,68.6,23.49,90.71,67.27,31.4,14.43,13.68,21.642422213488697,27,41.46,4,4,37.65,43.6,4.0,6,11.9,Deep Learning,Easy,2
STU02701,26,Master,Backend Developer,Intermediate,10.0,Reading/Writing,17.11,31.31,89.58,78.41,46.83,43.17,37.61,30.6,37.85,7.07,58.28,36.61,49.3,36.24,63.13,48.32,35.97,24.62,28.49,7.11,55.17,0.0,77.1,55.71,22.33,2.388967875873669,29,64.77,3,8,57.38,61.15,17.0,12,11.7,SQL,Medium,5
STU02702,31,Bachelor,Frontend Developer,Advanced,14.04,Visual,52.04,65.0,71.35,55.22,89.07,76.1,0.0,53.61,29.55,42.76,17.88,69.04,74.1,59.53,42.25,86.33,40.12,2.56,6.19,31.07,0.0,25.01,62.48,59.74,72.12,28.360113884959706,34,18.31,4,8,56.795,46.58,5.0,18,28.5,React,Hard,5
STU02703,19,PhD,Data Scientist,Beginner,12.13,Reading/Writing,94.47,64.38,43.02,55.08,34.14,9.85,41.57,44.71,35.85,30.41,21.46,9.8,37.74,2.76,31.1,0.0,53.62,29.13,68.37,47.35,44.36,32.76,45.86,46.11,31.23,9.201833373885435,8,16.57,3,8,59.02,20.41,17.0,6,11.5,Python,Easy,1
STU02704,23,Master,Full Stack Developer,Beginner,15.17,Kinesthetic,37.72,84.06,50.81,59.95,52.4,36.0,46.97,50.13,31.93,21.37,21.2,28.17,30.26,31.93,43.63,42.55,30.13,12.7,12.6,6.85,19.3,3.72,36.05,38.87,49.99,14.342878855099029,4,32.02,4,8,82.26,39.22,8.0,9,28.4,SQL,Easy,2
STU02705,34,Bachelor,Backend Developer,Intermediate,9.64,Reading/Writing,56.48,80.53,27.76,93.0,42.89,35.26,38.79,18.77,35.08,40.47,27.15,60.02,31.0,38.94,76.56,84.05,18.65,43.62,27.7,51.93,11.65,0.0,61.93,24.9,26.88,27.903280016028635,18,26.18,4,20,77.29,11.72,11.0,3,8.1,System Design,Medium,3
STU02706,20,High School,ML Engineer,Intermediate,4.02,Auditory,73.53,94.0,46.59,70.8,48.26,39.93,30.35,49.09,72.49,38.1,36.79,10.49,31.79,15.32,22.88,39.11,44.14,39.34,73.8,35.84,67.21,63.67,44.06,35.48,0.0,14.5283372092904,8,44.31,4,15,39.7,61.27,20.0,3,13.0,NumPy,Medium,1
STU02707,27,Master,AI Engineer,Beginner,18.97,Reading/Writing,71.79,55.21,36.97,46.23,43.34,14.04,40.92,12.36,52.22,44.5,0.0,15.84,20.07,33.64,25.65,0.0,23.58,42.2,58.03,44.28,58.34,38.51,46.82,20.09,13.31,27.992330707054982,4,48.81,4,5,56.32,58.5,6.0,3,10.3,Linux,Hard,1
STU02708,24,Master,Software Engineer,Beginner,7.62,Reading/Writing,65.73,37.14,69.94,29.99,50.35,35.0,34.25,12.9,27.25,59.36,31.75,15.27,26.16,29.63,18.65,12.93,17.88,16.14,14.98,9.55,28.82,16.68,40.28,29.39,20.04,21.03342394988345,24,81.12,1,16,97.77,35.24,4.0,1,17.0,Python,Easy,1
STU02709,22,Bachelor,Software Engineer,Intermediate,14.4,Auditory,66.49,54.3,25.36,9.13,81.22,48.03,30.09,14.14,65.74,14.71,17.42,46.69,49.62,38.26,31.18,32.51,29.49,44.77,20.24,25.62,36.33,0.0,69.15,23.11,16.73,21.364846630425205,6,19.06,3,11,57.94,100.0,4.0,6,22.5,Linux,Medium,2
STU02710,31,Bachelor,Backend Developer,Intermediate,12.16,Auditory,34.16,62.66,63.15,41.5,22.1,46.82,30.42,13.61,59.32,0.0,53.07,44.29,40.91,18.44,60.08,45.18,29.2,18.59,32.72,19.7,4.64,0.0,58.05,56.13,55.67,12.637238843559707,18,71.75,2,10,59.95,70.76,8.0,12,11.4,SQL,Hard,4
STU02711,44,Bachelor,Cybersecurity Engineer,Advanced,40.0,Kinesthetic,37.19,51.98,53.88,58.86,34.18,22.58,63.62,83.03,70.49,18.22,44.05,37.23,54.13,30.48,38.5,36.18,35.31,56.0,56.14,45.53,44.81,10.24,41.2,51.29,7.17,43.7817206435705,15,21.7,3,10,69.37,57.96,4.0,12,14.6,Git,Hard,5
STU02712,21,High School,Software Engineer,Intermediate,2.44,Auditory,67.69,48.54,53.0,28.39,40.96,14.6,35.09,53.96,36.13,47.65,43.26,21.62,24.19,11.57,47.11,35.42,29.31,30.41,8.97,22.1,6.8,4.81,47.7,16.65,32.66,1.353463916121541,51,69.53,6,3,26.14,63.77,11.0,3,7.9,Python,Medium,2
STU02713,25,Bachelor,Software Engineer,Advanced,8.2,Kinesthetic,35.67,62.21,31.75,55.45,63.36,42.22,17.9,26.2,66.85,39.55,19.44,23.04,29.11,30.19,54.98,15.46,69.28,32.14,42.46,49.6,58.92,12.06,49.86,51.21,43.03,21.364846630425205,40,41.08,6,9,8.69,27.99,0.0,6,14.7,Data Visualization,Hard,1
STU02714,23,PhD,Software Engineer,Beginner,15.24,Visual,38.51,78.1,40.2,26.96,44.95,43.24,26.59,40.41,52.28,37.61,41.7,21.19,21.38,27.2,48.8,19.2,38.3,17.35,23.51,34.84,11.44,10.5,50.05,20.97,20.81,26.25085809526836,13,29.86,8,11,17.36,79.89,10.0,3,5.2,Linux,Medium,1
STU02715,30,Associate,AI Engineer,Intermediate,4.65,Auditory,72.1,100.0,53.62,21.49,31.2,60.0,70.91,52.45,61.73,8.33,23.5,5.27,33.58,12.89,64.47,11.3,41.36,43.86,87.77,42.39,49.3,38.93,17.6,32.17,38.32,41.67947711628892,173,67.64,10,7,28.56,59.0,29.0,3,17.8,Git,Hard,2
STU02716,24,Bachelor,Software Engineer,Intermediate,11.85,Kinesthetic,44.06,83.62,43.18,54.14,83.2,53.73,55.01,59.88,31.12,29.09,37.99,40.12,40.56,46.56,29.43,55.54,57.12,23.23,0.0,38.13,22.08,27.19,61.85,35.93,19.52,21.7077390736996,46,53.23,1,4,74.98,28.76,12.0,6,15.7,Python,Medium,2
STU02717,24,High School,ML Engineer,Beginner,4.45,Visual,70.64,47.51,52.62,42.71,16.42,70.38,39.87,10.58,52.76,43.67,9.88,24.91,46.25,55.43,28.42,42.55,59.92,46.77,64.41,28.71,40.58,34.39,16.85,32.82,17.74,13.623360155300668,14,121.45,1,8,64.58,47.52,2.0,9,7.4,Git,Medium,5
STU02718,32,Master,Cybersecurity Engineer,Intermediate,12.09,Visual,49.99,0.0,18.02,33.57,30.92,32.82,56.74,51.02,45.51,42.73,17.36,35.2,37.39,29.48,58.83,50.0,4.59,33.6,24.43,12.04,5.74,18.24,47.5,38.53,44.08,21.364846630425205,30,38.04,3,12,31.31,42.56,4.0,6,8.1,Statistics,Hard,4
STU02719,18,Bachelor,Software Engineer,Beginner,12.44,Reading/Writing,50.56,63.74,41.54,56.14,82.25,35.94,43.21,18.87,55.05,47.88,30.73,21.27,7.35,17.18,35.23,23.02,18.16,17.25,11.24,19.92,12.5,17.16,59.84,30.91,47.58,19.6469861694202,6,31.7,3,9,67.24,32.62,7.0,1,11.7,Linux,Easy,4
STU02720,18,Bachelor,Frontend Developer,Beginner,18.62,Reading/Writing,58.66,71.13,75.41,75.52,39.34,35.5,33.81,51.23,40.94,6.8,19.69,48.12,60.93,48.22,11.65,24.72,21.46,9.53,26.54,3.73,32.11,18.08,31.72,1.88,11.18,19.321302866531713,6,31.15,1,6,40.57,44.47,15.0,12,4.2,CSS,Hard,1
STU02721,27,Bachelor,ML Engineer,Intermediate,14.31,Auditory,86.25,87.83,43.66,34.3,33.13,23.28,69.07,30.74,73.15,47.92,29.17,32.34,27.8,53.94,56.65,58.38,43.24,83.74,40.33,66.58,48.49,30.05,33.18,28.44,16.19,33.925930662494174,30,53.45,4,10,45.06,52.5,7.0,6,28.3,Git,Easy,1
STU02722,17,Master,Full Stack Developer,Beginner,6.8,Kinesthetic,85.99,69.57,34.74,61.16,74.21,58.36,61.81,0.0,21.46,4.54,39.6,37.71,37.36,15.3,31.65,48.25,22.77,31.04,22.71,3.0,27.29,17.19,25.97,51.64,46.01,37.06902026643622,323,49.28,1,15,70.84,62.79,47.0,6,11.2,SQL,Medium,1
STU02723,26,Master,Data Scientist,Intermediate,12.58,Auditory,91.9,89.47,49.85,35.8,25.9,56.9,37.56,60.66,64.98,21.28,9.15,17.61,14.86,41.02,62.59,39.57,92.82,60.04,71.95,17.06,53.24,43.12,61.72,29.85,8.2,50.16915106544754,21,37.61,7,3,2.95,43.39,5.0,6,31.9,Pandas,Medium,4
STU02724,24,Bachelor,ML Engineer,Advanced,14.71,Auditory,72.57,77.5,43.37,54.12,12.91,36.95,53.93,56.77,46.19,29.33,20.49,13.66,29.17,19.9,11.62,24.16,80.61,69.23,52.45,44.49,59.29,46.52,20.0,21.57,23.96,41.881002933801845,9,67.33,5,4,18.07,39.83,0.0,6,10.3,Git,Medium,5
STU02725,22,Bachelor,Software Engineer,Beginner,7.04,Auditory,84.49,59.24,31.64,48.13,42.44,61.16,56.5,57.89,21.76,15.94,28.05,23.68,26.05,25.89,17.62,39.99,47.08,34.11,26.76,32.86,21.36,9.48,48.6,35.56,13.36,12.263821981094756,20,47.57,4,10,61.12,78.0,2.0,12,14.1,Python,Easy,2
STU02726,31,Bachelor,Full Stack Developer,Intermediate,21.78,Auditory,38.93,64.64,80.61,65.29,36.67,30.86,56.49,42.13,21.11,40.9,27.64,42.32,40.64,44.19,32.9,50.85,39.86,10.75,8.36,29.14,29.43,49.48,48.69,45.92,29.53,48.294163163859736,11,37.96,5,6,65.4,49.68,8.0,6,29.3,SQL,Hard,2
STU02727,19,Bachelor,Full Stack Developer,Beginner,17.02,Reading/Writing,89.57,65.55,85.83,95.21,54.83,25.52,37.41,3.99,37.71,6.6,67.22,57.41,24.75,18.03,67.95,58.4,43.86,37.26,15.66,9.44,6.81,11.63,38.34,38.32,33.33,19.350458092752305,11,30.48,10,5,66.66,48.75,14.0,12,14.7,Node.js,Easy,3
STU02728,37,Bachelor,Software Engineer,Advanced,4.57,Reading/Writing,100.0,47.22,37.1,17.94,43.07,66.89,26.85,24.15,27.5,47.24,12.41,24.74,11.18,20.27,75.26,48.56,37.07,36.99,45.47,24.3,0.0,9.29,74.48,48.78,60.94,17.945729859726953,32,47.26,7,11,52.48,52.79,4.0,9,40.0,Python,Hard,5
STU02729,43,Bachelor,Data Scientist,Advanced,12.3,Auditory,96.12,61.02,51.33,46.61,19.88,49.9,58.81,24.48,87.7,45.58,29.89,25.58,61.35,15.24,54.78,33.98,94.42,63.05,81.96,62.45,87.03,63.63,56.14,43.97,39.09,9.492579911792834,75,47.65,10,7,39.18,81.61,12.0,9,10.4,Deep Learning,Hard,3
STU02730,26,Bachelor,AI Engineer,Beginner,6.54,Auditory,71.01,40.87,46.63,57.04,44.42,59.14,59.43,21.0,67.66,26.95,9.34,5.91,20.43,12.35,51.82,52.85,18.28,62.52,43.16,10.94,63.87,43.62,13.81,7.69,21.02,38.52676748829309,9,51.19,1,8,45.17,48.52,7.0,1,15.6,Git,Medium,1
STU02731,19,Associate,Software Engineer,Beginner,3.69,Reading/Writing,72.42,45.05,34.37,38.29,40.79,43.24,55.23,62.26,35.74,31.89,28.88,0.0,18.94,30.22,0.0,28.82,13.69,9.84,22.0,25.98,32.12,17.38,67.74,44.78,16.66,0.3876953344463345,13,41.08,3,4,56.795,55.6,6.0,9,17.9,Python,Easy,2
STU02732,26,Bachelor,Data Scientist,Beginner,8.6,Visual,99.74,48.21,69.31,53.53,44.39,42.95,35.07,57.95,43.77,14.93,10.49,32.0,13.35,20.83,35.21,28.92,41.2,63.24,62.9,34.6,44.54,68.11,38.75,25.88,0.0,21.262379100596693,13,40.22,1,8,53.42,55.77,14.0,6,10.2,Git,Hard,1
STU02733,27,Master,Frontend Developer,Intermediate,9.68,Visual,38.01,51.64,59.03,51.52,97.62,55.32,51.13,46.76,34.92,19.38,16.77,55.79,54.73,78.46,25.69,13.44,30.61,27.82,4.87,3.61,7.71,33.45,50.82,1.74,19.45,0.0,13,26.41,5,14,49.22,62.93,3.0,3,7.5,JavaScript,Medium,3
STU02734,20,Master,Data Scientist,Beginner,40.0,Visual,100.0,89.7,44.17,65.93,40.31,33.65,50.86,27.27,56.53,47.94,38.41,15.59,52.96,42.81,32.93,40.49,68.2,52.38,54.63,46.69,23.47,50.43,32.48,15.54,30.35,22.640851802572524,3,54.75,0,7,58.65,40.34,14.0,9,22.2,Git,Easy,1
STU02735,36,Master,Data Scientist,Advanced,8.75,Auditory,75.0,75.51,40.83,66.05,45.95,46.33,16.63,24.6,78.26,62.46,31.16,37.39,63.14,85.85,57.32,33.64,66.52,71.6,79.46,67.49,68.37,40.12,17.51,33.76,6.32,0.0,19,24.12,4,5,48.32,44.29,9.0,3,16.6,Machine Learning,Hard,5
STU02736,29,Master,ML Engineer,Advanced,12.41,Visual,71.32,68.82,52.14,42.8,46.63,74.55,37.16,26.27,31.24,29.76,46.62,43.92,75.47,3.27,26.76,51.04,55.81,41.51,44.73,56.41,41.85,42.7,44.49,53.27,32.28,35.57044605993891,41,34.15,8,1,41.35,12.38,2.0,18,25.9,Python,Hard,1
STU02737,22,Bachelor,Software Engineer,Beginner,14.54,Reading/Writing,60.83,62.17,76.66,63.08,51.44,47.28,48.11,29.73,39.29,29.0,42.96,29.4,25.1,8.52,30.38,26.94,22.0,18.3,12.38,11.17,7.56,10.23,35.43,34.47,4.16,25.43223419610666,6,26.14,3,8,41.49,60.8,5.0,18,11.8,Git,Medium,1
STU02738,29,Master,Frontend Developer,Intermediate,9.73,Auditory,56.6,34.89,86.94,73.83,99.57,10.31,51.43,34.39,16.1,20.02,38.87,63.61,69.62,48.13,19.24,14.08,17.34,44.38,8.63,4.74,20.83,41.74,76.53,67.19,29.84,25.701216143388912,5,57.57,2,18,31.44,73.21,5.0,12,11.0,CSS,Medium,1
STU02739,23,Bachelor,Backend Developer,Beginner,14.24,Visual,30.82,66.59,100.0,73.86,39.54,36.18,47.13,62.25,7.66,11.12,36.45,20.6,24.83,37.89,67.09,37.19,31.86,26.41,44.16,2.2,13.7,13.09,57.34,56.72,36.46,5.572263377850573,14,51.09,7,8,33.92,43.18,6.0,2,4.7,System Design,Easy,1
STU02740,18,Bachelor,Frontend Developer,Beginner,7.87,Reading/Writing,80.26,56.46,82.09,38.59,72.13,33.64,15.51,27.21,46.07,27.81,10.88,53.11,50.56,58.53,28.62,49.69,16.16,17.79,22.76,24.56,9.97,0.0,16.24,17.12,2.58,19.19046386269069,12,83.61,1,4,19.18,35.01,3.0,3,16.3,HTML,Easy,3
STU02741,17,Master,Software Engineer,Beginner,6.24,Kinesthetic,58.45,41.8,57.37,36.45,37.21,36.81,64.9,53.08,37.22,42.88,32.22,27.94,37.7,30.8,26.49,22.28,35.11,25.9,16.7,21.68,8.75,12.66,45.03,30.89,9.15,38.05475885667026,30,25.07,4,6,20.1,5.86,6.0,6,12.1,Python,Easy,3
STU02742,34,Bachelor,AI Engineer,Intermediate,8.5,Visual,94.61,88.07,1.76,59.13,48.82,33.8,36.93,63.27,62.07,20.97,8.16,29.93,20.53,41.25,42.46,46.87,75.54,70.14,74.98,39.96,59.09,31.18,22.5,10.34,22.42,5.490908951262293,12,69.3,3,1,52.86,17.05,0.0,3,9.5,Data Visualization,Medium,1
STU02743,27,Bachelor,Software Engineer,Beginner,5.59,Visual,71.75,0.0,55.1,31.52,34.4,49.77,28.72,58.85,38.24,48.02,28.08,29.87,33.61,13.22,30.99,9.73,15.33,23.48,15.91,21.4,11.46,32.47,58.82,15.08,10.43,17.85977987430945,5,97.48,4,4,34.92,79.24,1.0,9,8.7,Python,Medium,1
STU02744,27,Bachelor,Full Stack Developer,Intermediate,73.15,Kinesthetic,42.58,52.65,57.62,57.04,7.9,23.33,65.54,59.6,21.38,65.36,24.55,43.48,50.81,38.33,47.89,79.43,52.67,23.17,46.73,18.87,27.57,10.78,50.97,37.27,27.66,17.0538852446247,17,30.07,1,11,46.26,84.37,9.0,6,9.1,SQL,Easy,1
STU02745,23,Master,Data Scientist,Beginner,11.5,Kinesthetic,100.0,69.65,29.24,50.43,17.04,38.85,26.49,46.6,41.51,28.4,11.38,40.93,9.96,23.91,54.18,28.11,70.78,52.98,46.9,32.22,52.22,16.18,37.53,23.78,16.03,10.460947508446012,2,64.83,3,10,62.75,57.44,7.0,12,14.6,Git,Medium,2
STU02746,27,High School,Full Stack Developer,Intermediate,8.93,Auditory,92.92,38.92,58.26,55.54,39.76,43.03,29.67,38.43,57.53,28.06,65.56,46.18,24.42,15.19,70.72,84.76,42.37,22.8,22.83,15.34,28.96,48.62,61.3,23.59,39.88,18.811667622739687,30,51.47,2,10,0.0,32.22,31.0,12,4.6,Microservices,Medium,3
STU02747,29,Bachelor,Software Engineer,Advanced,16.97,Auditory,37.82,42.73,40.87,45.0,53.36,86.24,50.32,21.25,44.41,29.51,53.77,20.36,58.32,66.46,48.78,40.76,3.98,24.38,39.19,29.98,57.0,14.44,100.0,59.41,0.0,37.23295843960851,62,54.42,13,8,64.28,22.23,0.0,3,16.8,Python,Medium,4
STU02748,29,Master,Software Engineer,Intermediate,8.36,Reading/Writing,55.95,61.68,26.09,61.96,61.52,44.51,32.82,34.26,49.0,55.47,16.62,21.13,26.73,51.17,30.0,13.62,54.73,8.03,34.87,48.19,31.03,0.0,57.87,47.49,6.97,54.02819330340412,17,62.45,3,6,48.96,16.16,4.0,3,32.4,SQL,Medium,2
STU02749,27,PhD,ML Engineer,Beginner,1.98,Reading/Writing,84.74,66.05,41.42,26.05,12.92,20.19,79.12,58.08,49.09,22.14,38.94,0.0,44.8,35.02,49.46,36.77,59.01,40.87,40.15,41.26,49.77,40.66,40.84,27.16,22.35,29.56911401610041,22,44.75,5,8,59.85,3.87,12.0,18,7.3,Linux,Medium,1
STU02750,19,Bachelor,Software Engineer,Beginner,8.65,Auditory,43.82,74.67,86.84,51.98,81.9,17.17,35.53,38.0,38.22,34.22,43.64,0.0,30.0,23.06,24.87,32.06,1.27,22.42,4.4,7.56,23.27,1.19,53.11,38.53,33.43,14.380031753157606,21,28.41,4,1,69.06,62.94,4.0,6,10.7,Python,Easy,1
STU02751,24,Bachelor,Software Engineer,Beginner,18.81,Kinesthetic,48.54,27.97,21.51,57.3,62.66,55.3,36.76,53.64,22.85,42.47,30.81,15.52,13.54,19.55,3.31,43.47,48.81,32.19,26.06,25.43,2.11,20.84,36.17,19.39,25.13,0.0,5,46.37,3,7,33.5,62.7,5.0,12,6.5,Git,Hard,1
